nume_boala,simptome
               lanuginosa), Coloratie violacee a sprancenelor cu edem (dermatomiozita), Papule keratozice pe degete (dermatomiozita), Eritem difuz accentuat la genunchi/coate (semnul Gottron -
               dermatomiozita), Hiperkeratoza difuza palmara si plantara, Achantosis nigricans (hiperpigmentare si hiperplazie cutanata
               axiala/gat), Hipertricozis lanuginosa (par fin, decolorat pe fata, trunchi, membre), Hipertrofia papilelor linguale (hipertricozis lanuginosa), Afectarea gustului si mirosului (hipertricozis lanuginosa), Sclerodermie (asociata hipertricozis lanuginosa), Keratoza seboreica (asociata hipertricozis lanuginosa), Adenopatii (hipertricozis lanuginosa), Eritem cutanat (glucagonom - periorificial, pliuri, degete), Leziuni papulo-veziculare cu eroziuni secundare, cruste, fisuri
               (glucagonom), Anemie (glucagonom, porfiria eritropoietica), Tulburari psihiatrice (glucagonom), Hipoaminoacidemie (glucagonom), Diabet zaharat (glucagonom), Nodul ombilical (Nodulul Sister Mary Joseph - metastaza), Icter (boli hepatice), Eritem palmar (boli hepatice), Stelute vasculare (boli hepatice), Cap de meduza (circulatie colaterala - boli hepatice), Coloratie bronz-maronie a pielii (hemocromatoza), Xantoame (ciroza biliara primara), Prurit (boli hepatice colestatice/inflamatorii/maligne, dermatita
               herpetiforma), Reactii cutanate la administrarea de vitamina K (eritem, induratie,
               prurit), Urticarie (hepatita B, Strongyloides), Boala serului (hepatita B), Vasculita leucocitoclastica (hepatita C), Crioglobulinemie (hepatita C), Petesii (hepatita C), Fragilitate cutanata (porfiria cutanea tarda), Hipertricoza (porfiria cutanea tarda), Hiperpigmentare cutanata (porfiria cutanea tarda), Papule lineare pruriginoase migratorii (larva migrans cutanata), Leziuni lineare eritematoase migratorii (larva currens), Eruptii urticariene, veziculare, buloase pruriginoase (dermatita
               herpetiforma), Excoriatii cutanate (dermatita herpetiforma)"
Afectiuni neuromusculare in sarcina,"Simptome asociate sindromului de canal carpian (durere, amorțeală,
               furnicături la mână/încheietură), Simptome de radiculopatie lombară (deficit neurologic, tulburare
               sfincteriană în sindromul de coadă de cal), Senzație de amorțeală și furnicături pe fața laterală a coapsei
               (Meralgie parestetică), Senzație de amorțeală pe fața anterioară a coapsei, limitarea extensiei
               genunchiului (slăbiciunea cvadricepsului), tulburare de mers, durere moderată
               (Neuropatie femurală), Durere pe fața medială a coapsei, scăderea forței musculare la nivelul
               mușchilor adductori (Neuropatie obturator), Pareza facială periferică (Paralizia Bell), Simptome de poliradiculonevrită acută (Sindrom Guillain-Barre), Agravarea simptomelor de slăbiciune/amorțeală (în CIDP, MMN), Evoluție variabilă a simptomelor de Miastenia Gravis
               (agravare/ameliorare/stabil), insuficiență respiratorie, criză colinergică, Slăbiciune musculară (Miozită), Hipotonie generalizată, plânset slab, insuficiență respiratorie,
               dificultăți în alimentare (Miastenie neonatală - fetal), Contracturi articulare multiple (Artrogripoză congenitală - fetal), Slăbiciune musculară importantă, hipotonie, probleme respiratorii
               (Atrofie musculară spinală)"
Afectiuni renale congenitale,"Acumularea urinei (în caz de obstrucție), Presiune crescută asupra rinichilor (în caz de obstrucție), Infecții ale tractului urinar"
Afectiunile congenitale ale pleoapelor,"Absența pleoapelor (Ablefarie), Înlocuirea pleoapelor cu un țesut membranos (Ablefarie), Pleoape de dimensiuni mai mici (Microblefarie), Imposibilitatea închiderii fantei palpebrale (Lagoftalmie) - în
               Microblefarie, Colobom, Ochi uscat (în Microblefarie), Keratoconjunctivită de expunere (în Microblefarie), Aspect inestetic (în Microblefarie), Lipsă de substanță de formă triunghiulară în pleoapă (Colobom palpebral), Lipsa fantei palpebrale (Criptoftalmia), Acoperirea polului anterior al ochiului de țesut fuzionat
               (Criptoftalmia), Lărgire exagerată a deschiderii fantei palpebrale (Euriblefaron), Vizualizarea fundului de sac conjunctival (Euriblefaron), Imposibilitatea deschiderii complete a fantei palpebrale
               (Blefarofimoză), Unghiuri palpebrale părând sudate (Blefarofimoză), Pliu musculocutanat vertical care acoperă unghiul intern (Epicantus), Micșorarea câmpului vizual (în Epicantus întins, Blefarochalazis), Pliu cutanat orizontal paralel cu marginea liberă a pleoapei
               (Epiblefaron), Exces de piele la nivelul pleoapelor (Blefarochalazis), Oblicitate inversă a deschiderii fantei palpebrale (Aspect
               antimongoloid), Absența cililor (Hipotricoza), Prezența unor peri subțiri și rari în locul cililor (Hipotricoza), Cili groși, lungi și numeroși (Hipertricoza), Cili dispuși în două sau trei rânduri (Hipertricoza), Cili cu aspect de șirag de mărgele (Cili moniliformi), Prezența cililor în alte locuri decât cel normal pe pleoape (Ectopia
               cililor), Cili care ies pe fața conjunctivală a pleoapei (Cilii încarnați), Îngroșarea și uscarea excesivă a tegumentelor pleoapelor (Ichtioza), Aspect solzos al pielii pleoapelor (Ichtioza), Congestie tegumentară asociată (Eritrodermoichtioza), Formațiune pseudotumorală mică, elastică, mobilă, bine delimitată, spre
               unghiul palpebral extern (Chist dermoid), Ptoză congenitală (căderea pleoapei superioare), Retracție congenitală a pleoapei superioare, Răsfrângerea congenitală a pleoapei inferioare spre globul ocular
               (Entropion congenital), Răsfrângerea în afară a marginii pleoapei (Ectropion congenital), Imposibilitatea deschiderii fantei palpebrale din cauza solidarizării
               marginilor pleoapelor printr-o membrană (Ankiloblefaron)"
Afectiunile ereditare ale ficatului,"Stagnare ponderală, Icter prelungit / Icter discret / Icter moderat / Icter fluctuant, Vărsături, Diaree / Diaree cronică, Manifestări hemoragice / Sindrom hemoragic / Epistaxis / Hematoame, Hepatomegalie (ficat mărit), Hipotonie musculară, Hiporeactivitate, Afectare renală / Rinichi crescuți în volum / Tubulopatie, Întârziere psihică / Tulburări neuropsihice / Regres psihic / Demență /
               Dificultăți în dezvoltare / Dereglări de comportament, Cataractă, Anorexie, Crize de apnee, Tulburări ale stării de conștiență, Convulsii, Hepatosplenomegalie (ficat și splină mărite), Ascită, Edeme / Edeme limfatice (membre inferioare), Semne de malnutriție severă / Inaniție / Distrofie, Hiperpnee acidotică, Detresă respiratorie, Întârziere staturoponderală / Nanism / Retard statural, Obezitate facială și tronculară, Musculatură redusă, Tulburări de statică și mers, Pubertate întârziată, Transpirații (în hipoglicemie), Infecții recurente (respiratorii, urinare, digestive, ORL), Afectare cardiacă (cardiomegalie, insuficiență mitrală/aortică, boală
               mitrală), Afectare musculară / Mialgii recurente / Pareze musculare / Slabiciune
               musculară, Fatigabilitate / Astenie, Stare generală alterată, Sindrom dismorfic (specific MPS/Mucolipidozelor/Oligozaharidozelor, ex:
               facial, cifoză, proiectare anterioară stern, hirsutism), Opacități corneene, Afectare neurodegenerativă cerebrală, Rahitism vitamino-D rezistent, Tulburări neurologice (Boala Wilson: Parkinsonism, kinetice, atetoză,
               cerebeloase, nistagmus; Gaucher tip 2/3: leziuni nervoase, hipomimie, strabism,
               opistotonus, paralizii nervi cranieni, stridor, spasme laringiene, facies inexpresiv,
               trismus, nistagmus, hipertonie extrapiramidală, tremor, diskinezii, sindrom
               cerebelos; Porfirii: neuropatie, polineuropatie motorie), Inel Kayser-Fleischer (Boala Wilson), Manifestări dispeptice nespecifice, Dureri vagi în hipocondrul drept, Grețuri, Somnolență, Prurit (în colestază), Urine hipercrome (în colestază), Scaune acolice (în colestază), Ataxie cerebeloasă (în Colestaza Byler), Exoftalmie (în Colestaza Byler), Sindrom de malabsorbție (anemie, distrofie, rahitism, fenomene
               hemoragice), Dureri abdominale (în porfirii), Ileus / Dilatare abdominală / Zgomote intestinale reduse (în PAI), Constipație (în PAI), Tahicardie (în PAI), Hipertensiune (în PAI), Tulburări psihice (maniacale, depresive, paranoide) (în PAI, Wilson), Dureri ale membrelor (în PAI), Disurie / Retenție urinară (în PAI), Fotosensibilitate cutanată (în PCT, HCP, VP), Hipertricoză / Hiperpigmentare (în PCT), Angiocolită (în Fibroza hepatică congenitală), Chisturi hepatice / Chisturi renale (în Boala polichistică), Splenomegalie, Afectare osteoarticulară (Boala Gaucher tip 1), Poliadenopatie (Boala Gaucher tip 2), Dificultăți de deglutiție (Boala Gaucher tip 2), Hipoacuzie (Boala Maroteaux-Lamy), Hipoglicemie, Hipokaliemie, Accese de porfirie acuta intermitenta (în Tirozinemie cronică), Episoade hipertensive (în Tirozinemie cronică), Hernie inghinală / Hernie ombilicală (în MPS VII)"
Aftele bucale (Ulcerele bucale),"Ulcere superficiale sau profunde pe mucoasa cavității bucale, Localizare pe zone mobile: limbă, față internă a buzelor și obrajilor,
               baza gingiilor, Debut ca o umflătură mică roșie și sensibilă, Senzație de arsură prodromală (1-2 zile înainte de apariția ulcerului), Ulcere acoperite cu membrană galbenă sau albă, Margine înconjurată de un halou roșu (eritematos), Durere sau disconfort semnificativ, Febra este rară, Ulcere aftoase minore: 2-4 mm diametru, rotunde/ovale, bază galbenă apoi
               gri, 1-6 leziuni, vindecare 1-7 zile, Ulcere aftoase majore: >1 cm diametru, rotunde/ovale, mai dureroase,
               edem marginal, 1-6 leziuni, vindecare 10-40 zile, Ulcere herpetiforme: vezicule inițiale -> ulcere punctate multiple,
               discrete, coalescente, foarte dureroase, vindecare >10 zile, Semne de deshidratare (în cazuri severe): scădere în greutate,
               tahicardie, hipotensiune, extremități reci, umplere capilară întârziată, membrane
               mucoase uscate, turgor cutanat scăzut"
Agenezia renala,"Lipsa unuia sau a ambilor rinichi, Oligohidramnios (în cazul ageneziei bilaterale, detectabil ecografic în
               viața intrauterină), Formele unilaterale sunt adesea asimptomatice"
Agnozia,"Incapacitatea de a recunoaște un obiect cu ajutorul unuia sau mai multor
               simțuri, Deficit sau pierdere a identificării perceptive (vizuale, auditive,
               tactile, gustative) în absența unei patologii senzoriale primare (cecitate,
               surditate, anestezie), Agnozia auditivă: incapacitatea de a recunoaște un obiect prin sunete
               (ex: telefon), nerecunoașterea muzicii (amuzie), nerecunoașterea zgomotelor cotidiene
               familiare, Agnozia olfactivă: imposibilitatea de a recunoaște un obiect după miros
               (ex: portocală), Agnozia tactilă: incapacitatea identificării unui obiect prin pipăit
               (ex: nu poate denumi un pix sau o monedă plasată în palmă), Agnozia gustativă: imposibilitatea recunoașterii unui obiect prin gust, Agnozia vizuală: inabilitatea de a recunoaște un obiect prin văz, Agnozia obiectelor (aperceptivă): nu recunoaște culorile, imaginile sau
               obiectele, nu le poate denumi, incapabil să precizeze proprietăți sau funcții, Agnozia obiectelor (asociativă): nu recunoaște obiectul, dar îl poate
               descrie, Prosopagnozia (agnozia fețelor): inabilitatea recunoașterii figurilor
               familiare (membri ai familiei, prieteni), Agnozia culorilor, Agnozia limbajului scris: nu înțelege limbajul scris și nu îl poate
               (re)produce, Agnozia mediului înconjurător: nerecunoașterea locurilor familiare, Anosognozia: absența conștientizării unei probleme de ordin
               comportamental, motor sau cognitiv; negarea existenței unui deficit (chiar
               paralizie); negarea apartenenței segmentului paralizat, Sindrom de neglijență hemicorporală: nerecunoașterea unei jumătăți din
               corp ca aparținându-i; neglijarea completă a jumătății de corp afectate (igienă,
               îngrijire), Sindrom de neglijență hemispațială: ignorarea semnalelor și detaliilor
               din partea jumătății de corp/spațiu afectate"
Agorafobia,"Frica de a ramane singur, Frica de a fi si de a-si pierde controlul intr-un spatiu public, Frica de a se afla intr-un spatiu din care iesirea este dificila (ex:
               lift), Atasament fata de camin (pot sta in casa chiar si ani de zile), Dependenta de membrii familiei, Sentimente de neputinta, Senzatie de corp imaterial, Impresia de neverosimil fata de mediul inconjurator, Simptome psihologice sau vegetative ca manifestari primare ale
               anxietatii, Anxietate care apare mai ales in cel putin doua dintre situatiile:
               multimi, locuri publice, calatorie solitara si plimbare inafara casei, Evitarea situatiei fobice, Transpiratie abundenta (în cazul atacului de panică asociat), Ameteala (în cazul atacului de panică asociat), Dispnee (dificultate in respiratie) (în cazul atacului de panică
               asociat), Eritroza (inrosirea tegumentului fetei) (în cazul atacului de panică
               asociat), Senzatie de lesin (în cazul atacului de panică asociat), Durere acuta toracica (în cazul atacului de panică asociat), Dificultate la inghitit (în cazul atacului de panică asociat), Cresterea frecventei cardiace (în cazul atacului de panică asociat), Greata/disconfort abdominal (în cazul atacului de panică asociat), Confuzie (în cazul atacului de panică asociat), Amorteala (în cazul atacului de panică asociat), Frica de a nu innebuni/moarte (în cazul atacului de panică asociat)"
Bolile stomacului operat,"Durere (specifică ulcerului peptic postoperator), Diaree (specifică ulcerului peptic postoperator, sindromului dumping
               precoce, diareei postvagotomice), Anemie (consecutivă hemoragiilor oculte sau tulburărilor de absorbție în
               ulcerul peptic postoperator, cancerului de bont, anemiilor cronice post-gastrectomie), Lienterie (rar, în ulcer peptic postoperator), Scădere considerabilă în greutate (rar în ulcer peptic postoperator,
               specifică cancerului de bont, maldigestiei/malabsorbției), Sindromul insuficienței evacuatorii (rar, în complicația cu stenoză a
               ulcerului peptic postoperator), Borborisme (în sindromul dumping precoce), Crampe abdominale (în sindromul dumping precoce), Greață (în sindromul dumping precoce), Vărsături (în sindromul dumping precoce), Transpirații (în sindromul dumping precoce), Eritem cutanat (în sindromul dumping precoce), Tahicardie (în sindromul dumping precoce), Palpitații (în sindromul dumping precoce), Cefalee (în sindromul dumping tardiv), Vertij (în sindromul dumping tardiv), Tremur (în sindromul dumping tardiv), Puseu diareic imperios și abundent la 1-2 ore postalimentar (în diareea
               postvagotomică), Plenitudine postprandială (în cancerul de bont), Durere în hipocondrul drept amplificată de alimentație (în sindromul de
               ansa aferentă), Vărsături fulminante biloase ce ameliorează durerea (în sindromul de
               ansa aferentă), Demineralizare osoasă, Osteomalacie"
Agranulocitoza medicamentoasă,"febră, frisoane, apatie, astenie cu instalare bruscă sau progresivă, rinita, faringita, amigdalita acută, sinuzita, pneumonia, supurațiile ano-rectale, Neutropenie (PMN-uri sub 500 elemente/ mm3)"
Albinism,"pierdere generalizata sau partiala a pigmentului din piele, disfunctia melanocitelor din piele, ochi si/sau ureche, infectii respiratorii recurente (în sindromul Chediak-Higashi), diateza hemoragica (în sindroamele Chediak-Higashi, Hermansky-Pudlak), echimoze (în sindromul Hermansky-Pudlak), epistaxis (în sindromul Hermansky-Pudlak), singerare gingivala (în sindromul Hermansky-Pudlak), singerare prelungita in menstruatie (în sindromul Hermansky-Pudlak), singerare prelungita dupa extragerea dentara (în sindromul
               Hermansky-Pudlak), singerare prelungita postpartum (în sindromul Hermansky-Pudlak), colita hemoragica (în sindromul Hermansky-Pudlak), imunodeficienta (în sindromul Griscelli), defecte neurologice (în sindromul Griscelli), absenta completa a pigmentului din piele, par si ochi (în albinismul
               oculocutanat tip 1), pigmentare moderata (în albinismul oculocutanat tip 1B), fotofobie, reducerea acuitatii vizuale, nistagmus, rest pigmentar moderat in piele, par si ochi (în albinismul
               oculocutanat tip 2), pistrui (pot aparea cu vârsta în albinismul oculocutanat tip 2), lentigo (pot aparea cu vârsta în albinismul oculocutanat tip 2), nevi (pot aparea cu vârsta în albinismul oculocutanat tip 2), reducere minima a pigmentului din piele, par si ochi (în albinismul
               oculocutanat tip 3), depigmentare oculara (în albinismul ocular), transparenta irisului (în albinismul ocular), nistagmus motor congenital (în albinismul ocular), erori de refractive (în albinismul ocular), hipopigmentare fundica (în albinismul ocular), lipsa reflexului foveal (în albinismul ocular), strabism (în albinismul ocular), depigmentare variabila a pielii, parului si ochilor (în sindromul
               Hermansky-Pudlak), piele palida (în sindromul Griscelli)"
Alcaloza hipocloremica,"Polihidraminos sever (prenatal), Nastere prematura, Lipsa meconiului, Icter neonatal prelungit, Hipotonie (neonatal), Letargie, Varsaturi repetate, Constipatia, Gust sarat la sarutat (in fibroza chistica), Confuzie, Convulsii, Slabiciune neuromusculara, Crampe musculare, Distensie abdominala, Piele uscata, Apatie, Internari frecvente in spital, Mic pentru varsta, Perfuzie periferica slaba, Plicaturarea pielii, Greutate sub normal, Inaltime sub normal, Dezorientare, Somnolenta, Stupor, Abdomen scafoid (in sindrom Bartter), Abdomen distensionat (in diaree congenitala), Unde peristaltice vizibile (in diaree congenitala), Zgomote hidroaerice intestinale, Scaune tari (in sindrom Bartter), Hepatomegalie, Emanciere musculara, Atrofie musculara, Hipotonie musculara, Respiratie superficiala, Hipopnee, Anorexie, Poliurie, Malnutritie, Lipsa cresterii, Deshidratare cronica, Disfunctie cerebrala, Functie cognitiva defectiva, Hipopotasemie, Hipocloremie"
Alcaloza metabolică,"Hipocalcemie (datorită scăderii concentrației ionilor de calciu), Tetanie, Semnul Chvostek, Convulsii (în alcaloza severă), Mioclonii (în alcaloza severă), Pareze și paralizii (în alcaloza severă), Tulburări de ritm cardiac (în alcaloza severă), Hipotensiune arterială (în alcaloza severă), Hipoventilație compensatorie"
Alcaloza respiratorie,"Modificări ischemice (la pacienții cu istoric coronarian), Aritmii cardiace (mai puțin responsive la tratament), Fenomene de angină pectorală (la pacienții cu istoric coronarian), Scădere a debitului cardiac (la pacienții ventilați mecanic), Vasoconstricție periferică, Scădere a debitului cerebral, Amețeală, Confuzie, Fotosensibilitate, Alterarea stării de conștiență, Convulsii, Sincopă, Hipocalcemie, Parestezii ale extremităților, buzelor, limbii, Tresăriri musculare, Spasm laringian, Semnul Chvostek pozitiv, Semn Trousseau pozitiv, Anxietate, Tahicardie, Tahipnee, Hipo- sau hipertensiune, Respirație de tip Kussmaul (uneori), Raluri pulmonare (semn al afecțiunii de bază), Wheezing (semn al afecțiunii de bază)"
Alcoolismul,"Probleme grave in viata personala atribuite consumului de alcool, Deficienta in absorbtia vitaminelor (B1, B6, folati, acid nicotinic,
               vitamina A), Dezechilibre hidroelectrolitice (scaderi ale potasiului, calciului,
               magneziului, zincului, fosforului), Paralizii ale muschilor respiratori (din hipopotasemie), Diminuarea reflexelor (din hipopotasemie), Tulburari de ritm cardiac (din hipopotasemie, hipocalcemie,
               hipomagneziemie), Crize de tetanie (spasme musculare) (din hipocalcemie), Slabiciune musculara (din hipocalcemie, hipofosfatemie), Aritmii (din hipocalcemie), Incetosarea vederii (din hipomagneziemie), Fatigabilitate (din hipomagneziemie), Oboseala musculara (din hipomagneziemie), Insuficienta miocardica (din hipofosfatemie), Slabiciune in muschii membrelor si respiratori (din hipofosfatemie), Tulburari de coagulare (din hipofosfatemie), Disfunctii leucocitare (din hipofosfatemie), Cetoacidoza alcoolica, Varsaturi recurente (in cetoacidoza), Durere abdominala (in cetoacidoza), Pancreatita (frecvent asociată cu cetoacidoza), Niveluri scazute ale glucozei serice (uneori sub 50 mg%), Hiperglicemie usoara (rareori peste 300 mg%), Neputinta indeplinirii obligatiilor la locul de munca, scoala sau acasa, Consum excesiv in preajma unor evenimente (abuz), Dependenta (consum excesiv, de lunga durata, zilnic), Modificarea tolerantei la alcool (necesitatea unei cantitati mai mari), Sindrom de abstinenta (la suprimarea alcoolului pentru cateva ore):
               transpiratii, tremur, puls rapid, insomnie, greata, varsaturi, halucinatii,
               anxietate, agitatie, convulsii, Consum matinal de alcool pentru a evita sindromul de abstinenta, Agitatie, anxietate, violenta (la suprimare >24-48h), Halucinatii vizuale si auditive (la suprimare >24-48h), Alimentatie dezechilibrata, Dificultati in mentinerea echilibrului, Dificultati in mers, Tulburari de memorie, Hipertensiune arteriala (consum cronic), Slabiciune musculara, Tulburari de ritm cardiac, Anemii, Tulburari de coagulare, Scaderea imunitatii la infectii, Inflamatii gastrointestinale, Iritatii gastrice, Hipoglicemia, Hipertrigliceridemia, Scaderea fertilitatii, Dificultate in exprimare (efect acut), Lipsa de coordonare a miscarilor fine (efect acut), Scaderea acuitatii vederii periferice (efect acut), Reducerea frecventelor respiratorii (efect acut, doze mari), Reducerea ritmului cardiac (efect acut, doze mari), Voma (efect acut), Tulburari ale ritmului somn-veghe (insomnii noaptea, somnolenta ziua), Amorteala si furnicaturi la nivelul membrelor, Sindrom Wernicke (tulburari echilibru, nistagmus, dificultate in mers), Sindrom Korsakoff (tulburari grave de memorie, incapacitate de a
               invata), Degenerescenta cerebeloasa (mers nesigur, nistagmus), Deprimare intensa (cu durata de zile/saptamani), Tulburare psihotica indusa de alcool (halucinatii auditive, idei
               delirante paranoide), Anxietate puternica (poate persista luni in abstinenta), Inflamatii esofagiene, Gastrita, Atrofia celulelor gastrice, Hemoragii viloase intestinale, Scaderea absorbtiei apei si electrolitilor, Intestin spastic, Cresterea volumului eritrocitar mediu, Scaderea productiei de leucocite, Scaderea mobilitatii si aderentei granulocitare, Micsorarea raspunsului hipersensibilitatii intarziate, Trombocitopenie usoara, Scaderea agregarii plachetare, Scaderea contractilitatii miocardice, Vasodilatatie periferica cu senzatie de incalzire a extremitatilor, Cresterea necesarului miocardic de oxigen, Tahicardie paroxistica, Amenoree (la femei), Scaderea in volum a ovarelor (la femei), Absenta corpului luteal (la femei), Miopatie alcoolica (dureri musculare)"
Alcoorexia,"Evitarea meselor normale, în special cina, pentru a compensa caloriile
               prin consumul de alcool, Consum de alcool până la ore târzii, Confuzie (după consum mare de alcool), Schimbări în comportament (după consum mare de alcool), Transpirație abundentă (după consum mare de alcool), Pierdere rapidă în greutate corporală, Interes excesiv pentru numărul caloriilor consumate (citirea
               ambalajelor, cântărirea porțiilor), Cheltuirea unor sume mari de bani inexplicabil (pentru alcool), Vărsături frecvente (din cauza consumului mare de alcool), Respirație neregulată, Dificultăți de concentrare, Dificultăți în luarea deciziilor, Tulburări emoționale (ex. depresie), Dorința obsesivă de a slăbi sau de a preveni îngrășarea"
Alektorofobia,"palpitații, transpirații excesive, tremur, anxietate severă, greață, senzație de sufocare, senzație de pierdere a controlului"
Alergia la ambrozie,"rinoree apoasă, strănut, prurit oculonazal, secreții oculare, exacerbări astmatice (tuse, wheezing, senzație de constricție toracică), reacții încrucișate: senzație de prurit în cavitatea orală (limbă,
               faringe) la consumul de pepene galben, roșii, kiwi, banane, ceai de tei sau miere, urticarie (papule intens pruriginoase cu caracter migrator, eritem)"
Alergia la animale,"nas: atacuri de strănut, nas: rinoree abundentă apoasă, nas: nas înfundat, nas: respirație dificilă, ochi: prurit, ochi: eritem, ochi: lăcrimare excesivă, ochi: edem, căi respiratorii: tuse, căi respiratorii: flegmă, căi respiratorii: dispnee, căi respiratorii: astm, piele: prurit, piele: eczemă, piele: neurodermită, piele: urticarie, gastrointestinal: flatulență, gastrointestinal: greață, gastrointestinal: diaree, gastrointestinal: vărsături, gastrointestinal: durere abdominală, extremitate cefalică: migrenă"
